Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
1966-67,25.0,PHI,NBA,PF,15.0,,543.0,11.1,0.45,,0.317,,,,6.5,,,,,0.1,0.8,0.9,0.08,,,,,,jackslu01,
1967-68,26.0,PHI,NBA,PF,13.0,,432.0,9.3,0.427,,0.222,,,,5.0,,,,,-0.3,0.6,0.3,0.031,,,,,,jackslu01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jackslu01,
1969-70,28.0,PHI,NBA,PF,5.0,,73.0,12.2,0.503,,0.105,,,,4.7,,,,,0.0,0.0,0.0,0.004,,,,,,jackslu01,
1970-71,29.0,PHI,NBA,C,7.0,,160.0,11.9,0.46,,0.263,,,17.2,8.9,,,,,0.0,0.1,0.1,0.024,,,,,,jackslu01,
1993-94,24.0,GSW,NBA,PF,3.0,2.0,46.0,14.4,0.735,0.0,0.625,5.4,7.5,6.5,7.7,1.1,2.5,0.0,9.2,0.2,-0.1,0.1,0.095,-0.1,1.5,1.4,0.0,,houstby01,
1994-95,25.0,SEA,NBA,PF,1.0,0.0,1.0,-38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4,0.0,0.0,0.0,-0.94,-31.8,-18.7,-50.5,0.0,,houstby01,
2017-18,22.0,HOU,NBA,C,3.0,0.0,6.0,16.3,1.0,0.0,0.0,0.0,18.7,9.2,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.179,2.1,2.5,4.6,0.0,,qizh01,
2018-19,24.0,ORL,NBA,SF,5.0,0.0,60.0,12.9,0.546,0.5,0.5,0.0,13.7,6.4,11.7,2.5,0.0,8.3,17.7,0.1,0.0,0.1,0.087,-0.1,2.6,2.6,0.1,,iwundwe01,
2019-20,25.0,ORL,NBA,SF,5.0,0.0,76.0,6.6,0.446,0.35,0.4,1.3,14.2,7.4,7.6,1.8,2.7,11.3,14.9,-0.1,0.1,0.0,-0.006,-2.9,0.7,-2.1,0.0,,iwundwe01,
1980-81,23.0,HOU,NBA,SF,19.0,,417.0,10.2,0.427,0.009,0.345,7.3,16.4,11.6,7.4,1.7,2.7,14.7,16.2,-0.2,0.5,0.3,0.033,-2.1,0.8,-1.3,0.1,,willobi01,
1981-82,24.0,HOU,NBA,SF,2.0,,17.0,14.9,0.694,0.0,1.0,11.1,24.9,17.6,8.6,0.0,0.0,25.8,10.1,0.0,0.0,0.1,0.154,0.7,-0.1,0.6,0.0,,willobi01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willobi01,
1983-84,26.0,NJN,NBA,SF,3.0,,13.0,5.9,0.333,0.0,0.0,24.2,0.0,13.1,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.073,0.1,-4.9,-4.7,0.0,,willobi01,
1977-78,22.0,NYK,NBA,PF,6.0,,151.0,14.8,0.554,,0.143,11.2,18.9,14.8,14.5,0.6,1.7,19.0,18.3,0.2,0.0,0.2,0.068,-1.1,0.0,-1.0,0.0,,sheltlo01,
1978-79,23.0,SEA,NBA,PF,17.0,,566.0,15.0,0.499,,0.124,11.7,15.9,13.8,8.8,1.6,1.7,12.3,17.8,0.8,0.8,1.6,0.134,1.0,0.1,1.1,0.4,,sheltlo01,
1979-80,24.0,SEA,NBA,PF,15.0,,469.0,14.2,0.534,0.007,0.349,8.1,21.3,14.6,7.9,2.4,1.4,18.0,18.0,0.2,0.8,1.0,0.102,0.1,1.1,1.2,0.4,,sheltlo01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheltlo01,
1981-82,26.0,SEA,NBA,PF,8.0,,266.0,11.8,0.515,0.0,0.376,9.6,13.4,11.6,9.3,1.0,1.5,16.8,18.9,0.1,0.4,0.4,0.077,-1.2,-0.6,-1.8,0.0,,sheltlo01,
1982-83,27.0,SEA,NBA,PF,2.0,,53.0,5.4,0.198,0.13,0.217,20.8,16.3,18.8,12.6,0.9,0.0,7.4,20.5,-0.2,0.0,-0.2,-0.137,-4.9,-3.7,-8.6,-0.1,,sheltlo01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheltlo01,
1984-85,29.0,CLE,NBA,PF,4.0,0.0,106.0,11.8,0.599,0.0,0.294,7.0,17.8,12.5,4.9,0.9,0.5,13.5,17.1,0.1,0.1,0.2,0.097,-2.0,0.4,-1.6,0.0,,sheltlo01,
1974-75,24.0,GSW,NBA,PG,13.0,,112.0,12.7,0.496,,1.167,4.4,11.2,7.7,19.8,2.1,1.0,,,0.0,0.2,0.1,0.062,-1.6,0.2,-1.3,0.0,,dudlech01,
1975-76,25.0,GSW,NBA,PG,13.0,,260.0,17.7,0.629,,0.579,7.8,6.5,7.2,18.4,3.9,0.2,,,0.7,0.3,0.9,0.173,2.7,1.8,4.5,0.4,,dudlech01,
1976-77,26.0,GSW,NBA,PG,10.0,,236.0,13.1,0.435,,0.622,6.7,9.0,7.8,34.1,1.4,0.0,,,0.0,0.1,0.2,0.039,0.2,0.1,0.3,0.1,,dudlech01,
1981-82,23.0,SEA,NBA,SF,6.0,,29.0,-1.9,0.255,0.0,0.4,3.7,3.5,3.6,0.0,1.7,0.0,25.4,11.5,-0.1,0.0,-0.1,-0.114,-7.5,-2.6,-10.1,-0.1,,vraneda01,
1982-83,24.0,SEA,NBA,SF,2.0,,56.0,8.5,0.353,0.0,0.0,13.7,19.3,16.1,2.5,0.0,1.1,5.6,12.9,0.0,0.0,0.0,0.012,-3.8,-2.1,-6.0,-0.1,,vraneda01,
1983-84,25.0,SEA,NBA,SF,5.0,,147.0,11.2,0.428,0.026,0.179,12.3,15.6,14.0,10.1,1.1,2.4,10.6,14.6,0.0,0.2,0.2,0.079,-2.5,0.6,-2.0,0.0,,vraneda01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vraneda01,
1986-87,28.0,PHI,NBA,SF,2.0,0.0,3.0,10.2,,,,0.0,100.0,56.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.196,-9.7,7.6,-2.1,0.0,,vraneda01,
