Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
1946-47,30.0,PHW,BAA,10.0,2.4,9.1,0.264,3.9,4.6,0.848,0.8,4.1,8.7,,hillhar01,,,,,,,,,,,,,,,,
2023-24,22.0,MIA,NBA,4.0,5.3,13.0,0.404,1.5,1.8,0.857,3.0,1.5,12.8,,jaqueja01,SF,4.0,30.8,0.8,3.3,4.5,9.8,0.5,2.8,3.3,0.8,0.5,1.8,0.231,0.462,0.433
2024-25,23.0,MIA,NBA,3.0,0.3,2.0,0.167,0.7,0.7,1.0,0.3,0.3,1.3,,jaqueja01,SF,0.0,6.3,0.0,0.7,0.3,1.3,1.0,0.3,1.3,0.0,0.0,0.3,0.0,0.25,0.167
1962-63,24.0,DET,NBA,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,imhofda01,C,,2.0,,,,,,,1.0,,,,,,
,,,,,,,,,,,,,,,imhofda01,,,,,,,,,,,,,,,,
1964-65,26.0,LAL,NBA,11.0,1.2,2.2,0.542,0.6,1.1,0.583,1.2,2.4,3.0,,imhofda01,C,,13.7,,,,,,,3.9,,,,,,
1965-66,27.0,LAL,NBA,14.0,1.0,2.9,0.35,0.9,1.3,0.722,2.1,3.0,2.9,,imhofda01,C,,17.4,,,,,,,5.8,,,,,,
1966-67,28.0,LAL,NBA,3.0,4.3,8.0,0.542,1.3,1.7,0.8,1.7,2.7,10.0,,imhofda01,C,,28.7,,,,,,,12.3,,,,,,
1967-68,29.0,LAL,NBA,15.0,2.9,5.9,0.494,1.7,3.4,0.51,2.0,3.7,7.6,,imhofda01,C,,29.3,,,,,,,10.9,,,,,,
1968-69,30.0,PHI,NBA,5.0,6.6,13.2,0.5,5.0,7.6,0.658,2.4,4.8,18.2,,imhofda01,C,,38.2,,,,,,,16.4,,,,,,
1969-70,31.0,PHI,NBA,5.0,4.4,9.6,0.458,0.2,1.4,0.143,2.2,4.6,9.0,,imhofda01,C,,27.6,,,,,,,7.0,,,,,,
2004-05,22.0,PHO,NBA,12.0,1.0,2.9,0.343,0.2,0.3,0.5,1.0,0.7,2.5,,barbole01,PG,0.0,9.7,0.3,0.8,0.7,2.1,0.4,1.0,1.4,0.3,0.0,0.4,0.4,0.32,0.4
