Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 22,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 21,Unnamed: 25,Unnamed: 28,Unnamed: 12,Unnamed: 20,Unnamed: 17,Unnamed: 23,Unnamed: 29,Unnamed: 30,Unnamed: 26,Unnamed: 18
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,aminual01,,,,,,,,,,,,,,,
2014-15,24,DAL,NBA,SF,5,2,150,.548,10.6,.645,.355,.258,.032,.000,.355,.500,.727,.250,.000,,.636,.300,1.000,.129,4,.636,.571,0,0,,aminual01,,,,,,,,,,,,,,,
2015-16,25,POR,NBA,SF,11,11,372,.438,16.5,.453,.242,.086,.031,.094,.547,.483,.581,.455,.000,.417,.400,.679,.964,.063,8,.414,.552,0,0,,aminual01,,,,,,,,,,,,,,,
2016-17,26,POR,NBA,PF,4,0,113,.459,14.8,.541,.297,.108,.054,.081,.459,.500,.636,.000,.000,1.000,.412,.600,1.000,.108,3,.176,1.000,0,0,,aminual01,,,,,,,,,,,,,,,
2017-18,27,POR,NBA,PF,4,4,131,.519,16.1,.423,.269,.077,.019,.058,.577,.636,.714,.500,.000,.667,.433,.357,1.000,.077,3,.233,.571,0,0,,aminual01,,,,,,,,,,,,,,,
2018-19,28,POR,NBA,PF,16,16,399,.349,13.8,.532,.275,.202,.028,.028,.468,.397,.500,.273,.333,.333,.294,.609,1.000,.064,6,.549,.393,0,0,,aminual01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,3P,,,,%FGA,#,,,Att.,Md.,,haddaha01,2P,,,,,%3PA,Awards,,,,,,,,
2010-11,25,MEM,NBA,C,9,0,31,.300,10.9,.900,.300,.500,.100,.000,.100,.333,1.000,.000,.000,.000,,,,.200,2,,,1,0,,haddaha01,.667,,,,,.000,,,,,,,,,
2011-12,26,MEM,NBA,C,4,0,21,1.000,1.7,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,,,.000,0,,,0,0,,haddaha01,.000,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,,,,,,%FGA,#,,,Att.,Md.,,willija01,,,,,,Awards,,,2P,,,,,,
1997-98,29,NJN,NBA,C,3,2,116,.429,7.1,1.000,.571,.429,.000,.000,.000,.429,.500,.333,,,,,,.190,4,,,0,0,,willija01,,,,,,,,,.444,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,adebaba01,,,,,,,,,,,,,,,
2017-18,20,MIA,NBA,C,5,0,77,.467,4.6,.933,.800,.133,.000,.000,.067,.500,.417,1.000,,,.000,.714,,.267,4,.000,,1,0,,adebaba01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adebaba01,,,,,,,,,,,,,,,
2019-20,22,MIA,NBA,PF,19,19,687,.564,6.6,.995,.427,.305,.182,.082,.005,.566,.691,.507,.425,.444,.000,.742,,.218,44,.000,,0,0,,adebaba01,,,,,,,,,,,,,,,
2020-21,23,MIA,NBA,C,4,4,136,.456,8.1,1.000,.281,.263,.421,.035,.000,.456,.500,.467,.458,.000,,.692,,.070,4,,,0,0,,adebaba01,,,,,,,,,,,,,,,
2021-22,24,MIA,NBA,C,18,18,614,.594,6.8,.994,.406,.303,.194,.091,.006,.598,.845,.547,.324,.250,.000,.558,,.183,32,.000,,1,0,,adebaba01,,,,,,,,,,,,,,,
2022-23,25,MIA,NBA,C,23,23,850,.481,7.7,.991,.305,.317,.308,.061,.009,.485,.670,.391,.421,.381,.000,.641,,.130,42,.000,,0,0,,adebaba01,,,,,,,,,,,,,,,
2023-24,26,MIA,NBA,C,5,5,192,.495,10.8,.897,.124,.381,.299,.093,.103,.529,.750,.541,.483,.333,.200,.543,1.000,.072,7,.000,,0,0,,adebaba01,,,,,,,,,,,,,,,
2024-25,27,MIA,NBA,C,4,4,153,.438,14.4,.672,.094,.250,.281,.047,.328,.488,.667,.625,.333,.333,.333,.238,1.000,.078,3,.524,.364,0,0,,adebaba01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,mayooj01,,,,,,,,,,,,,,,
