Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,player_id
1984-85,26.0,NJN,NBA,SF,3.0,0.0,34.0,3.0,7.0,0.429,0.0,0.0,,3.0,7.0,0.429,0.429,0.0,2.0,0.0,1.0,9.0,10.0,4.0,0.0,0.0,1.0,6.0,6.0,0.0,,okoremi01
1985-86,27.0,NJN,NBA,SF,2.0,0.0,21.0,1.0,6.0,0.167,0.0,1.0,0.0,1.0,5.0,0.2,0.167,0.0,0.0,,1.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,0.0,,okoremi01
1989-90,23.0,MIL,NBA,PF,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,kornefr01
2004-05,25.0,SEA,NBA,SF,7.0,0.0,136.0,16.0,36.0,0.444,3.0,11.0,0.273,13.0,25.0,0.52,0.486,4.0,9.0,0.444,9.0,9.0,18.0,3.0,10.0,1.0,8.0,17.0,39.0,0.0,,wilkida02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilkida02
2010-11,31.0,ATL,NBA,SF,8.0,0.0,39.0,7.0,13.0,0.538,0.0,2.0,0.0,7.0,11.0,0.636,0.538,0.0,0.0,,3.0,5.0,8.0,1.0,2.0,2.0,2.0,2.0,14.0,0.0,,wilkida02
1974-75,26.0,KCO,NBA,PG,6.0,,242.0,43.0,118.0,0.364,,,,43.0,118.0,0.364,0.364,35.0,43.0,0.814,2.0,9.0,11.0,32.0,4.0,0.0,,18.0,121.0,0.0,,architi01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architi01
1979-80,31.0,BOS,NBA,PG,9.0,,332.0,45.0,89.0,0.506,1.0,2.0,0.5,44.0,87.0,0.506,0.511,37.0,42.0,0.881,3.0,8.0,11.0,71.0,10.0,0.0,38.0,28.0,128.0,0.0,,architi01
1980-81,32.0,BOS,NBA,PG,17.0,,630.0,95.0,211.0,0.45,0.0,5.0,0.0,95.0,206.0,0.461,0.45,76.0,94.0,0.809,6.0,22.0,28.0,107.0,13.0,0.0,50.0,39.0,266.0,0.0,,architi01
1981-82,33.0,BOS,NBA,PG,8.0,,277.0,30.0,70.0,0.429,0.0,4.0,0.0,30.0,66.0,0.455,0.429,25.0,28.0,0.893,1.0,16.0,17.0,52.0,5.0,2.0,23.0,21.0,85.0,0.0,,architi01
1982-83,34.0,BOS,NBA,PG,7.0,,161.0,22.0,68.0,0.324,1.0,6.0,0.167,21.0,62.0,0.339,0.331,22.0,29.0,0.759,3.0,7.0,10.0,44.0,2.0,0.0,11.0,12.0,67.0,0.0,,architi01
1974-75,23.0,GSW,NBA,PF,15.0,,257.0,47.0,78.0,0.603,,,,,,,,9.0,16.0,0.563,20.0,53.0,73.0,11.0,8.0,0.0,,28.0,103.0,0.0,,dickede01
1975-76,24.0,GSW,NBA,PF,12.0,,173.0,31.0,62.0,0.5,,,,,,,,14.0,17.0,0.824,18.0,24.0,42.0,6.0,2.0,1.0,,27.0,76.0,0.0,,dickede01
1966-67,25.0,NYK,NBA,PG,4.0,,128.0,16.0,59.0,0.271,,,,,,,,10.0,13.0,0.769,,,11.0,15.0,,,,13.0,42.0,0.0,,komivho01
1967-68,26.0,NYK,NBA,PG,6.0,,135.0,15.0,44.0,0.341,,,,,,,,4.0,6.0,0.667,,,14.0,23.0,,,,22.0,34.0,0.0,,komivho01
2018-19,28.0,POR,NBA,SG,16.0,0.0,326.0,30.0,82.0,0.366,21.0,52.0,0.404,9.0,30.0,0.3,0.494,9.0,11.0,0.818,5.0,20.0,25.0,13.0,12.0,4.0,7.0,27.0,90.0,0.0,,curryse01
2019-20,29.0,DAL,NBA,SG,6.0,0.0,173.0,31.0,53.0,0.585,10.0,21.0,0.476,21.0,32.0,0.656,0.679,5.0,5.0,1.0,2.0,9.0,11.0,8.0,6.0,0.0,8.0,14.0,77.0,0.0,,curryse01
2020-21,30.0,PHI,NBA,SG,12.0,12.0,381.0,85.0,147.0,0.578,41.0,81.0,0.506,44.0,66.0,0.667,0.718,15.0,19.0,0.789,4.0,24.0,28.0,28.0,9.0,3.0,10.0,33.0,226.0,0.0,,curryse01
