Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Rebounds",1.0,View full stats from top 20 games,griffta01
"Career high, Assists",1.0,View full stats from top 20 games,griffta01
"Career high, Blocks",1.0,View full stats from top 20 games,griffta01
"Career high, Game Score",2.9,View full stats from top 20 games,griffta01
"Career high, Game Score",-1.5,View full stats from top 20 games,kernejo01
"Career high, Points",27.0,View full stats from top 20 games,cuetoal01
"Career high, Rebounds",20.0,View full stats from top 20 games,cuetoal01
"Career high, Assists",5.0,View full stats from top 20 games,cuetoal01
"Career high, Points",27.0,View full stats from top 20 games,walteja01
"Career high, Rebounds",11.0,View full stats from top 20 games,walteja01
"Career high, Assists",6.0,View full stats from top 20 games,walteja01
"Career high, Steals",3.0,View full stats from top 20 games,walteja01
"Career high, Blocks",2.0,View full stats from top 20 games,walteja01
"Career high, Game Score",20.0,View full stats from top 20 games,walteja01
"Career high, Points",2.0,View full stats from top 20 games,smartke01
"Career high, Rebounds",1.0,View full stats from top 20 games,smartke01
"Career high, Assists",2.0,View full stats from top 20 games,smartke01
"Career high, Game Score",0.3,View full stats from top 20 games,smartke01
"Career high, Points",19.0,View full stats from top 20 games,tolsode01
"Career high, Rebounds",12.0,View full stats from top 20 games,tolsode01
"Career high, Assists",3.0,View full stats from top 20 games,tolsode01
"Career high, Steals",2.0,View full stats from top 20 games,tolsode01
"Career high, Blocks",2.0,View full stats from top 20 games,tolsode01
"Career high, Game Score",-1.1,View full stats from top 20 games,tolsode01
"Career high, Points",5.0,View full stats from top 20 games,majorre01
"Career high, Rebounds",2.0,View full stats from top 20 games,majorre01
"Career high, Steals",2.0,View full stats from top 20 games,majorre01
"Career high, Game Score",-1.6,View full stats from top 20 games,majorre01
"Career high, Points",17.0,View full stats from top 20 games,willije02
"Career high, Rebounds",5.0,View full stats from top 20 games,willije02
"Career high, Assists",4.0,View full stats from top 20 games,willije02
"Career high, Steals",3.0,View full stats from top 20 games,willije02
"Career high, Blocks",2.0,View full stats from top 20 games,willije02
"Career high, Game Score",14.5,View full stats from top 20 games,willije02
"Career high, Points",29.0,View full stats from top 20 games,mcmahja01
"Career high, Rebounds",9.0,View full stats from top 20 games,mcmahja01
"Career high, Assists",17.0,View full stats from top 20 games,mcmahja01
"Career high, Points",8.0,View full stats from top 20 games,magetjo01
"Career high, Rebounds",4.0,View full stats from top 20 games,magetjo01
"Career high, Assists",8.0,View full stats from top 20 games,magetjo01
"Career high, Steals",2.0,View full stats from top 20 games,magetjo01
"Career high, Blocks",1.0,View full stats from top 20 games,magetjo01
"Career high, Game Score",9.2,View full stats from top 20 games,magetjo01
"Career high, Points",45.0,View full stats from top 20 games,johnsed03
"Career high, Rebounds",15.0,View full stats from top 20 games,johnsed03
"Career high, Assists",10.0,View full stats from top 20 games,johnsed03
"Career high, Steals",5.0,View full stats from top 20 games,johnsed03
"Career high, Blocks",3.0,View full stats from top 20 games,johnsed03
"Career high, Game Score",34.8,View full stats from top 20 games,johnsed03
Triple-Doubles,1.0,View all,johnsed03
"Career high, Points",24.0,View full stats from top 20 games,thomala01
"Career high, Rebounds",13.0,View full stats from top 20 games,thomala01
"Career high, Assists",6.0,View full stats from top 20 games,thomala01
"Career high, Steals",3.0,View full stats from top 20 games,thomala01
"Career high, Blocks",2.0,View full stats from top 20 games,thomala01
"Career high, Game Score",21.7,View full stats from top 20 games,thomala01
"Career high, Points",18.0,View full stats from top 20 games,nealji01
"Career high, Rebounds",15.0,View full stats from top 20 games,nealji01
"Career high, Assists",3.0,View full stats from top 20 games,nealji01
"Career high, Points",22.0,View full stats from top 20 games,singlky01
"Career high, Rebounds",10.0,View full stats from top 20 games,singlky01
"Career high, Assists",5.0,View full stats from top 20 games,singlky01
"Career high, Steals",5.0,View full stats from top 20 games,singlky01
"Career high, Blocks",4.0,View full stats from top 20 games,singlky01
"Career high, Game Score",22.3,View full stats from top 20 games,singlky01
"Career high, Points",17.0,View full stats from top 20 games,salauti01
"Career high, Rebounds",14.0,View full stats from top 20 games,salauti01
"Career high, Assists",5.0,View full stats from top 20 games,salauti01
"Career high, Steals",3.0,View full stats from top 20 games,salauti01
"Career high, Blocks",2.0,View full stats from top 20 games,salauti01
"Career high, Game Score",15.6,View full stats from top 20 games,salauti01
"Career high, Points",30.0,View full stats from top 20 games,wrighsh01
"Career high, Rebounds",15.0,View full stats from top 20 games,wrighsh01
"Career high, Assists",4.0,View full stats from top 20 games,wrighsh01
"Career high, Steals",3.0,View full stats from top 20 games,wrighsh01
"Career high, Blocks",7.0,View full stats from top 20 games,wrighsh01
"Career high, Game Score",20.2,View full stats from top 20 games,wrighsh01
"Career high, Points",10.0,View full stats from top 20 games,kingri01
"Career high, Rebounds",5.0,View full stats from top 20 games,kingri01
"Career high, Assists",4.0,View full stats from top 20 games,kingri01
"Career high, Steals",1.0,View full stats from top 20 games,kingri01
"Career high, Blocks",1.0,View full stats from top 20 games,kingri01
"Career high, Game Score",10.3,View full stats from top 20 games,kingri01
"Career high, Points",11.0,View full stats from top 20 games,jonesca03
"Career high, Rebounds",3.0,View full stats from top 20 games,jonesca03
"Career high, Assists",3.0,View full stats from top 20 games,jonesca03
"Career high, Steals",1.0,View full stats from top 20 games,jonesca03
"Career high, Game Score",11.4,View full stats from top 20 games,jonesca03
"Career high, Points",35.0,View full stats from top 20 games,stallda01
"Career high, Rebounds",19.0,View full stats from top 20 games,stallda01
"Career high, Assists",8.0,View full stats from top 20 games,stallda01
"Career high, Steals",3.0,View full stats from top 20 games,stallda01
"Career high, Blocks",1.0,View full stats from top 20 games,stallda01
"Career high, Points",27.0,View full stats from top 20 games,kerrija01
"Career high, Rebounds",17.0,View full stats from top 20 games,kerrija01
"Career high, Assists",10.0,View full stats from top 20 games,kerrija01
"Career high, Points",50.0,View full stats from top 20 games,abdursh01
"Career high, Rebounds",22.0,View full stats from top 20 games,abdursh01
"Career high, Assists",13.0,View full stats from top 20 games,abdursh01
"Career high, Steals",7.0,View full stats from top 20 games,abdursh01
"Career high, Blocks",6.0,View full stats from top 20 games,abdursh01
"Career high, Game Score",46.0,View full stats from top 20 games,abdursh01
Triple-Doubles,1.0,View all,abdursh01
"Career high, Points",14.0,View full stats from top 20 games,mccrapa01
"Career high, Rebounds",6.0,View full stats from top 20 games,mccrapa01
"Career high, Assists",7.0,View full stats from top 20 games,mccrapa01
"Career high, Steals",2.0,View full stats from top 20 games,mccrapa01
"Career high, Points",32.0,View full stats from top 20 games,joneswi02
"Career high, Rebounds",22.0,View full stats from top 20 games,joneswi02
"Career high, Assists",10.0,View full stats from top 20 games,joneswi02
"Career high, Steals",6.0,View full stats from top 20 games,joneswi02
"Career high, Blocks",5.0,View full stats from top 20 games,joneswi02
"Career high, Game Score",14.5,View full stats from top 20 games,joneswi02
