Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
Season,Age,Team,Lg,Pos,G,GS,MP,#,,,,,,,,,,,,,,,,,,,,Att.,Md.,,wintetr01,Awards,,,,,,,,,,,,,,
1998-99,25,MIN,NBA,C,1,0,5,0,,,,,,,,,,,,,,,,,,,,0,0,,wintetr01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,harrilu01,,,,,,,,,,,,,,,
1996-97,26,PHI,NBA,SG,54,3,813,.381,16.5,.663,.214,.037,.133,.279,.337,.390,.524,.273,.256,.366,.364,.671,.889,.010,3,.121,.500,0,0,,harrilu01,,,,,,,,,,,,,,,
1997-98,27,NJN,NBA,SG,50,0,671,.390,16.4,.780,.237,.062,.090,.390,.220,.413,.452,.182,.375,.435,.308,.632,1.000,.011,2,.231,.333,0,0,,harrilu01,,,,,,,,,,,,,,,
1998-99,28,NJN,NBA,SG,36,5,602,.403,17.1,.724,.199,.050,.066,.409,.276,.473,.583,.444,.250,.459,.220,.694,1.000,.011,2,.320,.125,0,0,,harrilu01,,,,,,,,,,,,,,,
1999-00,29,NJN,NBA,SG,77,11,1510,.428,16.4,.752,.197,.073,.097,.384,.248,.460,.549,.382,.422,.438,.330,.675,.974,.017,7,.270,.355,0,0,,harrilu01,,,,,,,,,,,,,,,
2000-01,30,NJN,NBA,SG,73,50,2071,.425,15.7,.788,.205,.038,.107,.438,.212,.445,.594,.333,.328,.414,.348,.616,.848,.008,4,.205,.444,2,0,,harrilu01,,,,,,,,,,,,,,,
2001-02,31,NJN,NBA,SG,74,0,1553,.464,14.5,.780,.248,.060,.099,.374,.220,.489,.602,.469,.509,.413,.373,.698,.841,.004,2,.237,.321,1,0,,harrilu01,,,,,,,,,,,,,,,
2002-03,32,NJN,NBA,SG,77,25,1973,.413,15.3,.811,.200,.053,.108,.451,.189,.429,.597,.289,.333,.394,.346,.701,.915,.003,2,.228,.581,2,0,6MOY-11,harrilu01,,,,,,,,,,,,,,,
